npcId;stamina;hunger;hour;socialClass;socialStatus;leisure;priority;trait_extraversion;trait_agreeableness;trait_conscientiousness;trait_emotional_stability;trait_openness_exp;acao_alvo
76050942-6cae-4576-865c-3ba5fc375ecf;1;0.10624952;0.19331251;0;0;0.07083322;0;0.02995044;0.032898724;0.6709724;0.70474726;0.9663294;0
5f4d6350-51e7-496f-bb41-050cf5584ddf;1;0.10624952;0.19331251;0;0;0.07083322;0;0.9975651;0.5635224;0.27088833;0.30298495;0.198012;0
25461991-2283-4e7b-8775-f91f787285f5;1;0.024916552;0.19331251;0;0;0.010166667;0;0.37153345;0.7774057;0.7768664;0.70660317;0.3047614;0
3eae14c9-21cb-4ecf-b638-ad5b5e496797;0.9694986;0.10624952;0.19331251;0;0;0.07083322;0;0.9097316;0.94285506;0.7214059;0.96109766;0.40711093;0
d9ca5798-5496-48ec-8c15-6335b7f357e8;1;0.10624952;0.19331251;0;0;0.07083322;0;0.3424458;0.9792281;0.64674795;0.25145167;0.10381806;0
3b304759-4900-411c-b2cc-23b585ae035b;1;0.10624952;0.19331251;0;0;0.07083322;0;0.478383;0.91622037;0.48002648;0.49298054;0.19104135;0
10115958-2aa5-4e94-b06c-79dfd330400d;1;0.10624952;0.19331251;0;0;0.07083322;0;0.59511447;0.37509263;0.16858959;0.27126408;0.5742145;0
9b585871-dfee-4495-87d0-5dc6e9111de4;1;0.10624952;0.19333333;0;0;0.07083322;0;0.05037129;0.8757434;0.65395916;0.7381469;0.92210263;0
2022b14a-7000-4a21-8031-58ed223e1434;1;0.10624952;0.19333333;0;0;0.07083322;0;0.3032754;0.15522724;0.46087843;0.42086613;0.9324494;0
7fcdf536-36c2-4447-a25e-73a9b4d4cd9b;1;0.10624952;0.19333333;0;0;0.07083322;0;0.96076214;0.28878897;0.25142044;0.04303509;0.9552349;2
5f364f43-dc4b-4242-9089-c6c4a86ef1f6;1;0.10624952;0.19333333;0;0;0.07083322;0;0.5733495;0.58585656;0.9249288;0.09829664;0.18488395;0
57246c9b-fa74-41e2-a9bd-49fefab48884;1;0.10624952;0.19333333;0;0;0.07083322;0;0.5996958;0.91893137;0.18485123;0.81884634;0.8016309;0
